modelo,record,latidos,errores,n_N,n_S,n_V,Se_S,+P_S,Se_V,+P_V
v4_morfologia_relativa,806,3019,13,2950,40,29,0.675,1.0,1.0,1.0
v4_morfologia_relativa,807,1940,23,1911,29,0,0.2069,1.0,,
v4_morfologia_relativa,808,1772,8,1744,20,8,0.65,1.0,1.0,0.6667
v4_morfologia_relativa,809,2542,108,2430,112,0,0.0357,1.0,,0.0
v4_morfologia_relativa,810,1901,5,1837,8,56,0.5,1.0,1.0,0.9492
v4_morfologia_relativa,811,1433,28,1404,1,28,1.0,0.04,0.4643,1.0
v4_morfologia_relativa,812,1840,38,1756,14,70,0.2143,0.1034,0.6143,1.0
v4_morfologia_relativa,820,2349,32,2161,185,3,0.827,1.0,1.0,0.12
v4_morfologia_relativa,821,3130,194,2480,614,36,0.7687,0.9365,0.8611,0.2583
v4_morfologia_relativa,822,2332,660,1673,658,1,0.0015,1.0,1.0,0.25
v4_morfologia_relativa,823,2859,338,2477,382,0,0.1152,1.0,,0.0
v4_morfologia_relativa,824,2417,54,2214,196,7,0.8929,0.8495,1.0,0.3182
v4_morfologia_relativa,825,2796,8,2651,145,0,0.9586,0.9858,,0.0
v4_morfologia_relativa,826,2659,383,2579,80,0,0.5625,0.1372,,0.0
v4_morfologia_relativa,827,1860,4,1842,18,0,0.8333,0.9375,,
v4_morfologia_relativa,828,1911,138,1755,150,6,0.1667,0.7812,1.0,0.0441
v4_morfologia_relativa,829,1965,68,1885,80,0,0.5,0.6897,,0.0
v4_morfologia_relativa,840,2384,8,2339,44,1,0.9318,0.9535,1.0,0.25
v4_morfologia_relativa,841,1849,239,1489,106,254,0.5,0.2611,0.4685,0.6071
v4_morfologia_relativa,842,2557,236,2392,104,61,0.375,0.3391,0.8033,0.2649
v4_morfologia_relativa,843,2706,36,2647,21,38,0.5714,0.4286,0.7105,1.0
v4_morfologia_relativa,844,1707,24,1648,59,0,0.8983,0.7465,,0.0
v4_morfologia_relativa,845,2883,117,2826,27,30,0.8148,0.1833,0.2667,0.8
v4_morfologia_relativa,846,1679,13,1659,20,0,0.4,1.0,,0.0
v4_morfologia_relativa,847,1760,39,1665,51,44,0.2941,1.0,1.0,0.898
v4_morfologia_relativa,848,4257,321,4226,30,1,0.3667,0.0438,1.0,0.0127
v4_morfologia_relativa,849,2138,184,2058,74,6,0.2432,0.2069,0.6667,0.0357
v4_morfologia_relativa,850,1836,9,1829,7,0,0.0,,,0.0
v4_morfologia_relativa,851,2626,33,2167,32,427,0.0938,1.0,0.993,0.9953
v4_morfologia_relativa,852,2662,410,2332,321,9,0.0623,0.6667,1.0,0.0254
v4_morfologia_relativa,853,2217,95,2105,48,64,0.6667,0.3478,0.9844,0.6429
v4_morfologia_relativa,854,2726,357,1788,460,478,0.3522,0.8663,0.9561,0.8623
v4_morfologia_relativa,855,2537,165,2034,227,276,0.5859,0.7037,0.9928,0.8754
v4_morfologia_relativa,856,2850,15,2810,12,28,0.0,,0.9286,0.963
v4_morfologia_relativa,857,2582,88,2400,38,144,0.3158,0.2553,0.9653,0.7989
v4_morfologia_relativa,858,2178,4,2167,8,3,0.5,1.0,1.0,0.75
v4_morfologia_relativa,859,3540,145,3007,69,464,0.0145,0.5,0.9375,0.8683
v4_morfologia_relativa,860,2416,11,1672,17,727,0.4706,1.0,1.0,0.9945
v4_morfologia_relativa,861,2469,571,1873,569,27,0.0703,0.9091,1.0,0.1031
v4_morfologia_relativa,862,2181,29,2132,26,23,0.4231,0.5789,0.913,0.7241
v4_morfologia_relativa,863,3121,40,2560,321,240,0.9065,0.9831,0.9792,1.0
v4_morfologia_relativa,864,1893,34,1742,19,132,0.1053,0.4,0.9394,0.8732
v4_morfologia_relativa,865,3153,1842,1101,1818,234,0.0011,1.0,0.8932,0.9587
v4_morfologia_relativa,866,2664,539,2050,167,447,0.4551,0.2695,0.9016,0.5799
v4_morfologia_relativa,867,2998,259,2787,136,75,0.0956,0.3023,0.9467,0.3397
v4_morfologia_relativa,868,3334,1688,2552,227,555,0.2819,0.3855,0.2919,0.1214
v4_morfologia_relativa,869,2159,430,1506,631,22,0.5864,0.9415,0.3636,0.0214
v4_morfologia_relativa,870,2676,453,1785,454,437,0.0991,0.9375,0.9039,0.8458
v4_morfologia_relativa,871,1794,8,1774,12,8,0.4167,0.8333,1.0,0.6667
v4_morfologia_relativa,872,1979,0,1896,9,74,1.0,1.0,1.0,1.0
v4_morfologia_relativa,873,1665,19,1624,15,26,0.4667,1.0,0.5769,1.0
v4_morfologia_relativa,874,2238,5,2188,9,41,0.7778,0.7778,1.0,0.9535
v4_morfologia_relativa,875,2049,63,1944,8,97,0.625,1.0,1.0,0.6101
v4_morfologia_relativa,876,2139,151,2004,135,0,0.6074,0.5031,,0.0
v4_morfologia_relativa,877,2036,171,1839,196,1,0.2857,0.8,1.0,0.0071
v4_morfologia_relativa,878,1909,41,1589,64,256,0.4844,0.8611,1.0,0.9046
v4_morfologia_relativa,879,2060,20,1470,48,542,0.6875,0.8919,1.0,0.9713
v4_morfologia_relativa,880,3485,813,3103,241,141,0.0,0.0,0.5248,0.1063
v4_morfologia_relativa,881,2258,495,1323,628,307,0.3392,0.8875,0.899,0.6188
v4_morfologia_relativa,882,1933,21,1887,41,5,0.4878,1.0,1.0,0.1923
v4_morfologia_relativa,883,1818,23,1771,40,7,0.425,1.0,1.0,0.2414
v4_morfologia_relativa,884,2880,98,2484,53,343,0.0,,0.8805,0.9869
v4_morfologia_relativa,885,1957,277,1504,399,54,0.3459,0.9452,0.9259,0.641
v4_morfologia_relativa,886,2221,14,2168,26,27,0.7308,0.9048,0.9259,0.6757
v4_morfologia_relativa,887,2687,119,2352,125,210,0.08,1.0,0.9952,0.9248
v4_morfologia_relativa,888,2311,53,2189,68,54,0.2647,0.9,0.9815,0.6386
v4_morfologia_relativa,889,1707,194,1464,152,91,0.5921,0.9574,0.989,0.3371
v4_morfologia_relativa,890,2172,106,2001,74,97,0.6622,0.8167,0.8144,0.4877
v4_morfologia_relativa,891,2604,325,2120,277,207,0.0036,1.0,0.9275,0.7559
v4_morfologia_relativa,892,2840,389,1740,523,577,0.283,0.9867,0.9757,0.8937
v4_morfologia_relativa,893,2526,75,2188,0,338,,0.0,1.0,0.9769
v4_morfologia_relativa,894,2344,62,2211,80,53,0.25,0.9091,0.9623,0.7969
