modelo,record,latidos,errores,n_N,n_S,n_V,n_F,Se_S,+P_S,Se_V,+P_V,Se_F,+P_F
v2_rr_normalizado,18,3082,52,2660,0,366,56,,0.0,0.9699,0.9861,0.7857,0.5432
v2_rr_normalizado,19,2060,689,1211,0,849,0,,0.0,0.2332,1.0,,
v2_rr_normalizado,20,2650,122,2360,179,110,1,0.6927,0.7515,0.5091,1.0,0.0,0.0
v2_rr_normalizado,21,2182,38,2070,104,8,0,0.7308,0.8837,0.875,1.0,,
v2_rr_normalizado,22,3124,154,2814,124,185,1,0.6371,0.6031,0.5946,1.0,0.0,0.0
v2_rr_normalizado,23,2203,0,2190,0,13,0,,,1.0,1.0,,
v2_rr_normalizado,24,2569,3,2563,0,6,0,,0.0,1.0,0.75,,
v2_rr_normalizado,25,1710,9,1703,2,5,0,1.0,0.1818,0.6,1.0,,
v2_rr_normalizado,26,1507,5,1496,7,4,0,1.0,0.7,0.25,1.0,,
v2_rr_normalizado,27,2603,1,1884,0,719,0,,0.0,0.9986,1.0,,
v2_rr_normalizado,28,1715,14,1711,0,4,0,,0.0,1.0,1.0,,
v2_rr_normalizado,29,2618,214,1835,0,783,0,,0.0,0.728,1.0,,0.0
v2_rr_normalizado,30,2460,258,1705,0,755,0,,0.0,0.6583,1.0,,
v2_rr_normalizado,31,3207,256,1843,0,1364,0,,0.0,0.816,0.9955,,0.0
v2_rr_normalizado,32,1617,34,1560,0,57,0,,0.0,0.9474,1.0,,
v2_rr_normalizado,33,1835,29,1245,589,1,0,0.961,0.9895,1.0,0.1667,,
v2_rr_normalizado,34,1963,30,1427,536,0,0,0.959,0.9847,,0.0,,
v2_rr_normalizado,35,3674,209,3199,0,457,18,,,0.7133,1.0,0.6111,0.0601
v2_rr_normalizado,36,3909,134,3447,0,450,12,,,0.8067,0.9973,0.5833,0.0753
v2_rr_normalizado,37,2459,53,2007,0,452,0,,,0.9978,1.0,,0.0
v2_rr_normalizado,38,2696,10,2153,0,543,0,,0.0,0.9816,1.0,,
v2_rr_normalizado,39,1773,182,1460,0,313,0,,0.0,0.9968,1.0,,
v2_rr_normalizado,40,2664,9,2566,6,92,0,0.3333,0.6667,1.0,0.9388,,
v2_rr_normalizado,41,1628,86,1622,5,1,0,0.8,0.046,0.0,0.0,,
v2_rr_normalizado,42,3107,37,1544,0,1554,9,,0.0,0.9807,0.998,0.4444,0.2
v2_rr_normalizado,43,2207,31,1085,0,1120,2,,0.0,0.9777,0.9973,0.0,0.0
v2_rr_normalizado,44,2493,6,1802,8,683,0,0.375,1.0,1.0,1.0,,0.0
v2_rr_normalizado,45,1926,3,1435,0,491,0,,0.0,0.9939,1.0,,0.0
v2_rr_normalizado,46,2656,9,2230,1,422,3,1.0,1.0,0.9858,1.0,1.0,0.25
v2_rr_normalizado,47,1951,191,1857,1,93,0,0.0,0.0,0.9892,0.7132,,
v2_rr_normalizado,48,2355,50,2117,2,235,1,0.5,0.0208,1.0,0.9958,0.0,
v2_rr_normalizado,49,2145,97,2118,0,27,0,,0.0,1.0,1.0,,
v2_rr_normalizado,50,2996,55,2992,0,4,0,,0.0,0.75,1.0,,0.0
v2_rr_normalizado,51,2775,118,1969,3,802,1,0.3333,0.1667,1.0,1.0,0.0,0.0
v2_rr_normalizado,52,1745,0,1608,0,137,0,,,1.0,1.0,,
v2_rr_normalizado,53,2260,6,1150,0,1110,0,,0.0,0.9964,0.9991,,0.0
